"State","Date","Latitude","Longitude","Pollutant","Unit","Mean"
"Ohio","2021-01",41.096188,-80.658867,"Sulfur dioxide","Parts per billion",4.50594067741936
"Ohio","2021-01",41.446624,-81.662356,"Sulfur dioxide","Parts per billion",0.156256129032258
"Ohio","2021-01",41.471782,-81.656792,"Sulfur dioxide","Parts per billion",0.0566992096774194
"Ohio","2021-01",41.477011,-81.682383,"Sulfur dioxide","Parts per billion",0.0263440806451613
"Ohio","2021-01",41.492117,-81.678449,"Sulfur dioxide","Parts per billion",0.205159048387097
"Ohio","2021-01",41.673006,-81.422455,"Sulfur dioxide","Parts per billion",1.50198561290323
"Ohio","2021-01",41.726811,-81.242156,"Sulfur dioxide","Parts per billion",1.70399720967742
"Ohio","2021-01",41.959695,-80.572808,"Sulfur dioxide","Parts per billion",4.0255459516129
"Ohio","2021-02",38.508075,-82.659241,"Sulfur dioxide","Parts per billion",0.0285270535714286
"Ohio","2021-02",38.588034,-82.834973,"Sulfur dioxide","Parts per billion",1.18788498214286
"Ohio","2021-02",38.609338,-82.822512,"Sulfur dioxide","Parts per billion",1.11982489285714
"Ohio","2021-02",38.89495,-82.14893,"Sulfur dioxide","Parts per billion",0.844805785714286
"Ohio","2021-02",38.94945,-82.1104,"Sulfur dioxide","Parts per billion",1.13581240740741
"Ohio","2021-02",38.95018,-82.12211,"Sulfur dioxide","Parts per billion",0.542022875
"Ohio","2021-02",39.12886,-84.50404,"Sulfur dioxide","Parts per billion",0.380614196428571
"Ohio","2021-02",39.21487,-84.69086,"Sulfur dioxide","Parts per billion",0.357352589285714
"Ohio","2021-02",39.46619,-84.40256,"Sulfur dioxide","Parts per billion",1.21805433928571
"Ohio","2021-02",39.472436,-84.394952,"Sulfur dioxide","Parts per billion",0.332812982142857
"Ohio","2021-02",39.479822,-84.409617,"Sulfur dioxide","Parts per billion",0.172984607142857
"Ohio","2021-02",39.63223,-81.67005,"Sulfur dioxide","Parts per billion",0.667814875
"Ohio","2021-02",39.83562,-84.720524,"Sulfur dioxide","Parts per billion",0.533996196428571
"Ohio","2021-02",39.9679,-80.7464,"Sulfur dioxide","Parts per billion",0.0205523392857143
"Ohio","2021-02",39.983752,-81.562234,"Sulfur dioxide","Parts per billion",0.771948625
"Ohio","2021-02",39.99388,-81.5589,"Sulfur dioxide","Parts per billion",0.745865660714286
"Ohio","2021-02",40.002707,-82.994424,"Sulfur dioxide","Parts per billion",0.295856839285714
"Ohio","2021-02",40.3663,-80.6158,"Sulfur dioxide","Parts per billion",1.02057816
"Ohio","2021-02",40.631545,-80.547181,"Sulfur dioxide","Parts per billion",0.0339285535714286
"Ohio","2021-02",40.770944,-84.0539,"Sulfur dioxide","Parts per billion",0.118479464285714
"Ohio","2021-02",41.063526,-81.468956,"Sulfur dioxide","Parts per billion",0.0559547857142857
